Type,Site,Date,TransectOrder,survey_pair,Total
Dived,Tanote,2025-09-30,A,TB2510_3_DEEP_2025-09-30,116
Dived,Tanote,2025-09-30,B,TB2510_2_SHALLOW_2025-09-30,57
Dived,Tanote,2025-09-30,B,TB2510_3_DEEP_2025-09-30,100
Dived,Tanote,NA,A,TB2510_2_SHALLOW_NA,78
Dived,Tanote,NA,B,TB2510_2_SHALLOW_NA,70
Dived,Tanote Bay,2025-08-06,A,TB2508_1_DEEP_2025-08-06,223
Dived,Tanote Bay,2025-08-06,B,TB2508_1_DEEP_2025-08-06,157
Dived,Tao Tong,2025-10-13,A,TT2510_1_SHALLOW_2025-10-13,124
Dived,Tao Tong,2025-10-13,A,TT2510_2_DEEP_2025-10-13,63
Dived,Tao Tong,2025-10-13,B,TT2510_1_SHALLOW_2025-10-13,153
Dived,Tao Tong,2025-10-13,B,TT2510_2_DEEP_2025-10-13,20
Dived,Tao Tong,2025-10-14,A,TT2510_3_SHALLOW_2025-10-14,651
Dived,Tao Tong,2025-10-14,A,TT2510_4_DEEP_2025-10-14,670
Dived,Tao Tong,2025-10-14,B,TT2510_3_SHALLOW_2025-10-14,665
Dived,Tao Tong,2025-10-14,B,TT2510_4_DEEP_2025-10-14,580
Dived,Tao Tong,2025-10-15,A,TT2510_5_SHALLOW_2025-10-15,821
Dived,Tao Tong,2025-10-15,A,TT2510_6_DEEP_2025-10-15,336
Dived,Tao Tong,2025-10-15,B,TT2510_5_SHALLOW_2025-10-15,726
Dived,Tao Tong,2025-10-15,B,TT2510_6_DEEP_2025-10-15,258
Undived,Buddha Rock S 010,2025-08-14,A,BDR010_1_SHALLOW_2025-08-14,294
Undived,Buddha Rock S 010,2025-08-14,A,BDR010_2_DEEP_2025-08-14,413
Undived,Buddha Rock S 010,2025-08-14,B,BDR010_1_SHALLOW_2025-08-14,282
Undived,Buddha Rock S 010,2025-08-14,B,BDR010_2_DEEP_2025-08-14,275
Undived,Buddha Rock S 010,2025-08-19,A,BDR010_3_SHALLOW_2025-08-19,171
Undived,Buddha Rock S 010,2025-08-19,A,BDR010_4_DEEP_2025-08-19,112
Undived,Buddha Rock S 010,2025-08-19,B,BDR010_3_SHALLOW_2025-08-19,123
Undived,Buddha Rock S 010,2025-08-19,B,BDR010_4_DEEP_2025-08-19,69
Undived,Buddha Wall 010,2025-08-28,A,BDR010_5_SHALLOW_2025-08-28,200
Undived,Buddha Wall 010,2025-08-28,A,BDR010_6_DEEP_2025-08-28,166
Undived,Buddha Wall 010,2025-08-28,B,BDR010_5_SHALLOW_2025-08-28,236
Undived,Buddha Wall 010,2025-08-28,B,BDR010_6_DEEP_2025-08-28,188
Undived,Grapeview,2025-08-22,A,GV003_3_SHALLOW_2025-08-22,139
Undived,Grapeview,2025-08-22,B,GV003_3_SHALLOW_2025-08-22,159
Undived,Grapeview 003,2025-08-13,A,GV003_1_SHALLOW_2025-08-13,139
Undived,Grapeview 003,2025-08-13,A,GV003_2_DEEP_2025-08-13,119
Undived,Grapeview 003,2025-08-13,B,GV003_1_SHALLOW_2025-08-13,129
Undived,Grapeview 003,2025-08-13,B,GV003_2_DEEP_2025-08-13,205
Undived,Grapeview 003,2025-08-19,A,GV003_3_SHALLOW_2025-08-19,141
Undived,Grapeview 003,2025-08-19,A,GV003_4_DEEP_2025-08-19,27
Undived,Grapeview 003,2025-08-19,B,GV003_3_SHALLOW_2025-08-19,228
Undived,Grapeview 003,2025-08-19,B,GV003_4_DEEP_2025-08-19,41
Undived,Grapeview 003,2025-08-22,A,GV003_4_DEEP_2025-08-22,70
Undived,Grapeview 003,2025-08-22,B,GV003_4_DEEP_2025-08-22,86
Undived,Hin Wong N 005,2025-08-12,A,HWN005_1_SHALLOW_2025-08-12,219
Undived,Hin Wong N 005,2025-08-12,A,HWN005_2_DEEP_2025-08-12,295
Undived,Hin Wong N 005,2025-08-12,B,HWN005_1_SHALLOW_2025-08-12,213
Undived,Hin Wong N 005,2025-08-12,B,HWN005_2_DEEP_2025-08-12,96
Undived,Hin Wong N 005,2025-08-21,A,HWN005_3_SHALLOW_2025-08-21,243
Undived,Hin Wong N 005,2025-08-21,A,HWN005_4_DEEP_2025-08-21,77
Undived,Hin Wong N 005,2025-08-21,B,HWN005_3_SHALLOW_2025-08-21,248
Undived,Hin Wong N 005,2025-08-21,B,HWN005_4_DEEP_2025-08-21,73
Undived,Hin Wong N 005,2025-08-25,A,HWN005_5_SHALLOW_2025-08-25,178
Undived,Hin Wong N 005,2025-08-25,A,HWN005_6_DEEP_2025-08-25,69
Undived,Hin Wong N 005,2025-08-25,B,HWN005_5_SHALLOW_2025-08-25,175
Undived,Hin Wong N 005,2025-08-25,B,HWN005_6_DEEP_2025-08-25,52
Undived,Laem Thian S 007,2025-08-12,A,LTS007_1_SHALLOW_2025-08-12,172
Undived,Laem Thian S 007,2025-08-12,A,LTS007_2_DEEP_2025-08-12,107
Undived,Laem Thian S 007,2025-08-12,B,LTS007_1_SHALLOW_2025-08-12,188
Undived,Laem Thian S 007,2025-08-12,B,LTS007_2_DEEP_2025-08-12,98
Undived,Lang Kai S 008,2025-08-14,A,LKS008_1_SHALLOW_2025-08-14,226
Undived,Lang Kai S 008,2025-08-14,A,LKS008_2_DEEP_2025-08-14,198
Undived,Lang Kai S 008,2025-08-14,B,LKS008_1_SHALLOW_2025-08-14,245
Undived,Lang Kai S 008,2025-08-14,B,LKS008_2_DEEP_2025-08-14,240
Undived,Lang Kai S 008,2025-08-21,A,LKS008_3_SHALLOW_2025-08-21,149
Undived,Lang Kai S 008,2025-08-21,A,LKS008_4_DEEP_2025-08-21,235
Undived,Lang Kai S 008,2025-08-21,B,LKS008_3_SHALLOW_2025-08-21,162
Undived,Lang Kai S 008,2025-08-21,B,LKS008_4_DEEP_2025-08-21,186
Undived,Lang Kai S 008,2025-08-25,A,LKS008_5_SHALLOW_2025-08-25,226
Undived,Lang Kai S 008,2025-08-25,A,LKS008_6_DEEP_2025-08-25,225
Undived,Lang Kai S 008,2025-08-25,B,LKS008_5_SHALLOW_2025-08-25,244
Undived,Lang Kai S 008,2025-08-25,B,LKS008_6_DEEP_2025-08-25,179
Undived,Lighthouse N 004,2025-08-13,A,LH004_1_SHALLOW_2025-08-13,93
Undived,Lighthouse N 004,2025-08-13,A,LH004_2_DEEP_2025-08-13,177
Undived,Lighthouse N 004,2025-08-13,B,LH004_1_SHALLOW_2025-08-13,99
Undived,Lighthouse N 004,2025-08-13,B,LH004_2_DEEP_2025-08-13,199
Undived,Lighthouse N 004,2025-08-20,A,LH004_3_SHALLOW_2025-08-20,384
Undived,Lighthouse N 004,2025-08-20,A,LH004_4_DEEP_2025-08-20,156
Undived,Lighthouse N 004,2025-08-20,B,LH004_3_SHALLOW_2025-08-20,895
Undived,Lighthouse N 004,2025-08-20,B,LH004_4_DEEP_2025-08-20,114
Undived,Lighthouse N 004,2025-08-27,A,LH004_5_SHALLOW_2025-08-27,70
Undived,Lighthouse N 004,2025-08-27,A,LH004_6_DEEP_2025-08-27,160
Undived,Lighthouse N 004,2025-08-27,B,LH004_5_SHALLOW_2025-08-27,88
Undived,Lighthouse N 004,2025-08-27,B,LH004_6_DEEP_2025-08-27,154
Undived,N Sai Nuan 0012,2025-08-22,A,NSN012_3_SHALLOW_2025-08-22,75
Undived,N Sai Nuan 0012,2025-08-22,A,NSN012_4_DEEP_2025-08-22,0
Undived,N Sai Nuan 0012,2025-08-22,B,NSN012_3_SHALLOW_2025-08-22,82
Undived,N Sai Nuan 0012,2025-08-22,B,NSN012_4_DEEP_2025-08-22,0
Undived,N Sai Nuan 012,2025-08-18,A,NSN012_1_SHALLOW_2025-08-18,199
Undived,N Sai Nuan 012,2025-08-18,A,NSN012_2_DEEP_2025-08-18,10
Undived,N Sai Nuan 012,2025-08-18,B,NSN012_1_SHALLOW_2025-08-18,155
Undived,N Sai Nuan 012,2025-08-18,B,NSN012_2_DEEP_2025-08-18,6
Undived,N Sai Nuan 012,2025-08-28,A,NSN012_5_SHALLOW_2025-08-28,170
Undived,N Sai Nuan 012,2025-08-28,A,NSN012_6_DEEP_2025-08-28,4
Undived,N Sai Nuan 012,2025-08-28,B,NSN012_5_SHALLOW_2025-08-28,148
Undived,N Sai Nuan 012,2025-08-28,B,NSN012_6_DEEP_2025-08-28,6
Undived,Nang Yuan S 001,2025-08-18,A,SNY001_1_SHALLOW_2025-08-18,230
Undived,Nang Yuan S 001,2025-08-18,A,SNY001_2_DEEP_2025-08-18,97
Undived,Nang Yuan S 001,2025-08-18,B,SNY001_1_SHALLOW_2025-08-18,128
Undived,Nang Yuan S 001,2025-08-18,B,SNY001_2_DEEP_2025-08-18,81
Undived,S Nangyuan 001,2025-08-20,A,SNY001_3_SHALLOW_2025-08-20,137
Undived,S Nangyuan 001,2025-08-20,A,SNY001_4_DEEP_2025-08-20,61
Undived,S Nangyuan 001,2025-08-20,B,SNY001_3_SHALLOW_2025-08-20,159
Undived,S Nangyuan 001,2025-08-20,B,SNY001_4_DEEP_2025-08-20,79
Undived,S Nangyuan 001,2025-08-27,A,SNY001_5_SHALLOW_2025-08-27,47
Undived,S Nangyuan 001,2025-08-27,A,SNY001_6_DEEP_2025-08-27,86
Undived,S Nangyuan 001,2025-08-27,B,SNY001_5_SHALLOW_2025-08-27,35
Undived,S Nangyuan 001,2025-08-27,B,SNY001_6_DEEP_2025-08-27,76
